word,article,meaning,plural,rank,level
Jahr,Das,year,Jahre,78.0,a12
Polizei,Die,police,Polizeien,245.0,a12
Weg,Der,way,Wege,284.0,a12
Woche,Die,week,Wochen,289.0,a12
Geschichte,Die,history,Geschichten,297.0,a11
Platz,Der,space,Plätze,326.0,a12
Zahl,Die,number,Zahlen,340.0,a11
Haus,Das,house,Häuser,369.0,a12
Markt,Der,market,Märkte,378.0,a12
Zukunft,Die,future,Zukünfte,413.0,a11
Bild,Das,picture,Bilder,443.0,a11
Hand,Die,hand,Hände,503.0,a12
Musik,Die,music,Musiken,510.0,a11
Buch,Das,book,Bücher,514.0,a11
Paar,Das,couple,Paare,524.0,a11
Eltern,Die,parents,Eltern,538.0,a11
Nacht,Die,night,Nächte,571.0,a11
Firma,Die,Company,Firmen,576.0,a11
Kirche,Die,church,Kirchen,583.0,a12
Wasser,Das,water,-,595.0,a12
Straße,Die,street,Straßen,605.0,a12
Mutter,Die,mother,Mütter,609.0,a11
Gericht,Das,court,Gerichte,612.0,a11
Vater,Der,father,Väter,620.0,a11
Kopf,Der,head,Köpfe,627.0,a12
Mannschaft,Die,team,Mannschaften,675.0,a11
Ausstellung,Die,exhibition,Ausstellungen,678.0,a11
Gespräch,Das,conversation,Gespräche,695.0,a12
Schule,Die,school,Schulen,698.0,a12
Aufgabe,Die,task,Aufgaben,739.0,a11
Abend,Der,evening,Abende,760.0,a11
Vergangenheit,Die,past,Vergangenheiten,763.0,a11
Boden,Der,floor,Böden,782.0,a12
Sohn,Der,son,Söhne,787.0,a11
Verein,Der,Union,Vereine,797.0,a11
Bank,Die,Bank,Bänke,822.0,a12
Theater,Das,theater,Theater,862.0,a11
Geschäft,Das,business,Geschäfte,868.0,a12
Tochter,Die,daughter,Töchter,869.0,a11
Stunde,Die,hour,Stunden,913.0,a12
Monat,Der,month,Monate,962.0,a12
Wohnung,Die,apartment,Wohnungen,1016.0,a12
Morgen,Der,morning,Morgen,1045.0,a11
Natur,Die,nature,Naturen,1051.0,a11
Computer,Der,computer,Computer,1102.0,a11
Kurs,Der,course,Kurse,1135.0,a12
Zentrum,Das,center,Zentren,1154.0,a12
Schweiz,Die,Switzerland,Schweizen,1157.0,a11
Licht,Das,light,-,1162.0,a12
Sitzung,Die,session,Sitzungen,1261.0,a12
Papier,Das,paper,Papiere,1279.0,a11
Freund,Der,boyfriend,Freunde,1290.0,a11
Tisch,Der,table,Tische,1306.0,a11
Bahn,Die,train,Bahnen,1325.0,a11
Museum,Das,museum,Museen,1329.0,a11
König,Der,king,Könige,1345.0,a11
Lehrer,Der,teacher,Lehrer,1352.0,a11
Nummer,Die,number,Nummern,1373.0,a11
Rathaus,Das,town hall,Rathäuser,1401.0,a12
Ruhe,Die,calm,-,1459.0,a12
Hotel,Das,hotel,Hotels,1553.0,a12
Geburtstag,Der,birthday,Geburtstage,1557.0,a12
Praxis,Die,practice,-,1571.0,a12
Essen,Das,food,Essen,1610.0,a12
